Id,y,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
1,0,6.792,9.79,-7.664,-0.747,-3.513,5.441,-4.12,-7.773,-2.732,0.574
2,0,3.918,6.224,-0.288,2.729,5.707,9.285,-1.564,2.661,-3.685,-0.281
3,1,-5.784,6.783,6.749,6.47,7.478,-0.573,2.287,6.76,6.325,-0.718
4,1,2.516,2.502,7.324,-0.133,1.4,1.963,-8.753,1.3,9.034,8.883
5,0,9.592,1.779,4.695,1.428,-9.756,4.573,4.114,7.997,2.148,-5.979
6,0,5.404,-4.13,6.855,-8.377,-3.745,9.805,-5.289,9.411,5.363,-5.918
7,1,-7.72,-2.224,7.314,7.19,-1.113,8.897,6.137,-9.75,-3.755,3.002
8,1,-5.09,8.769,-7.66,-6.131,9.897,-5.843,0.339,-7.107,1.119,-5.543
9,1,-0.264,-1.209,-5.422,5.716,7.666,0.555,-6.592,1.247,-6.381,-1.689
10,1,-0.188,1.063,-4.338,0.199,-5.384,9.418,-6.088,-7.638,-7.122,-6.794
11,0,-9.986,-8.79,-9.692,8.071,-3.314,3.764,8.089,3.123,1.592,-4.903
12,0,-1.749,-8.642,6.619,-1.875,-8.518,-1.412,-1.216,6.486,7.05,3.919
13,1,4.76,4.273,-9.286,-5.852,7.969,-4.221,-4.735,0.741,-3.015,-7.622
14,0,-2.542,5.941,4.252,-7.122,7.397,4.547,4.278,-0.894,0.563,6.126
15,0,3.229,-9.356,-8.02,-5.375,-2.696,-6.792,-7.346,1.563,9.424,-8.973
16,0,8.579,-2.921,0.723,2.152,9.286,-2.659,-2.271,1.665,-0.418,9.203
17,1,2.898,-9.43,-7.436,-1.06,1.785,8.101,-6.204,-6.824,7.653,-0.47
18,1,-0.118,8.659,0.18,-5.439,5.64,6.727,-6.637,9.706,5.978,8.141
19,1,2.613,8.839,-7.65,-5.582,6.079,-8.763,4.865,-2.758,-4.846,-9.017
20,0,-7.61,8.759,-6.704,3.89,3.735,-9.87,5.233,-3.564,5.947,6.711
21,0,-2.966,-7.472,0.918,-2.991,3.697,6.963,1.639,-4.665,6.146,-6.357
22,0,1.851,3.851,2.849,-2.337,6.908,6.596,6.011,7.951,-9.728,-9.87
23,0,3.842,-8.508,-9.034,-1.976,8.601,3.132,-9.759,5.323,-8.048,-2.702
24,1,8.408,1.9,-6.031,-5.131,-2.684,7.414,0.542,-7.261,9.572,7.758
25,1,1.628,-2.231,5.74,-4.389,9.6,-7.183,7.883,1.277,-4.111,7.833
26,0,-3.244,5.259,2.204,-0.74,0.191,-1.145,-1.631,3.09,3.251,-3.118
27,1,0.233,1.475,0.861,-7.668,9.739,-4.642,-5.616,0.892,-8.707,9.44
28,1,-1.338,-1.928,-0.71,5.296,-0.067,5.714,6.842,-6.769,-2.447,6.203
29,1,9.697,-8.171,-2.134,6.156,-2.384,-8.261,0.938,7.625,5.81,3.61
30,0,0.803,-1.211,-7.842,5.495,-3.074,-0.595,8.399,-4.495,2.317,7.153
31,0,-9.79,8.352,7.411,-7.969,-6.928,-4.589,-6.619,-9.55,9.982,9.854
32,1,3.225,4.223,-6.941,-9.774,-9.798,5.594,-5.975,-1.082,-7.934,8.17
33,1,-0.565,-3.059,-2.229,5.198,-1.249,3.191,6.432,7.386,-7.23,-0.929
34,0,-1.721,8.043,-4.504,9.976,-8.207,-5.571,1.487,-5.71,5.336,3.128
35,1,-3.4,2.842,-4.109,-3.333,1.61,-0.601,-7.858,-3.16,0.698,9.506
36,0,9.606,0.206,0.27,-1.44,-7.541,2.615,-4.872,-0.82,3.243,-1.997
37,1,3.45,3.491,-6.768,4.299,0.04,1.343,9.623,-0.367,2.843,-6.447
38,1,4.519,2.465,7.673,-4.123,3.503,9.911,-8.322,6.956,-7.348,-7.919
39,1,-9.286,-8.571,8.873,0.948,0.264,-6.443,6.862,2.736,9.761,6.032
40,1,-8.503,-5.041,1.699,9.002,2.054,1.956,-3.371,6.111,3.188,2.95
41,1,4.601,-2.702,7.269,4.989,1.652,1.498,9.303,8.829,-1.98,-4.697
42,1,6.723,-1.615,-6.545,4.151,-5.969,-6.157,1.171,3.217,-8.628,9.578
43,0,1.671,-7.504,-8.762,-4.481,-3.461,-7.08,9.666,-0.94,9.134,6.636
44,0,-3.557,4.172,-2.541,-1.841,-4.034,1.859,-8.752,-8.753,-3.416,6.079
45,1,0.078,7.774,3.702,3.32,4.409,-2.286,4.029,0.435,7.522,6.528
46,1,3.682,-8.05,8.902,-4.563,-5.623,-0.068,-0.329,-6.755,1.427,-2.721
47,1,-7.548,-8.944,3.56,-4.901,-5.02,5.293,-0.896,0.343,-7.714,7.811
48,1,2.169,-1.227,7.229,5.024,-0.092,-1.136,6.298,-2.442,-5.475,7.016
49,0,-9.069,-4.649,5.307,-1.044,-4.915,-3.194,3.588,3.657,9.908,-5.328
50,0,7.343,5.448,4.85,-9.398,9.935,3.239,4.662,3.015,9.751,9.017
51,0,9.185,-4.376,-6.097,-9.373,5.141,-0.09,-5.193,-6.666,-2.961,6.964
52,1,4.009,1.053,1.723,-5.76,-1.867,-4.514,8.525,5.923,8.272,1.968
53,0,2.57,-3.226,-7.989,-2.27,7.553,9.813,-0.631,-4.552,3.545,-6.207
54,1,-7.485,-8.09,5.072,1.426,-8.145,9.116,-9.495,8.395,0.3,0.415
55,1,-4.729,-9.965,2.505,-0.75,-1.92,8.304,6.251,5.24,-9.448,-8.138
56,0,-3.218,6.193,-7.792,7.878,7.196,-1.835,3.415,-4.41,3.742,-9.106
57,0,-2.718,-8.905,-4.638,-1.016,4.327,-2.597,-7.171,-5.389,-6.381,-2.366
58,0,-8.399,-0.988,4.531,-2.959,-3.836,-2.692,9.673,-0.409,-5.284,7.943
59,1,5.882,5.93,-4.664,-8.266,-1.72,3.61,-8.032,3.424,0.392,3.01
60,1,3.501,-7.888,-3.006,-8.63,9.066,7.893,-6.997,6.09,-0.379,4.159
61,0,-4.635,-1.665,2.731,-0.404,-4.08,6.395,0.438,2.889,-2.223,-6.88
62,1,8.262,-5.365,1.815,1.027,1.72,3.024,1.81,6.953,4.778,6.348
63,0,2.78,-7.745,-4.366,-6.457,-5.511,-5.441,6.051,-7.028,5.102,-7.811
64,1,9.704,4.962,2.254,-2.194,2.491,8.754,1.213,4.991,9.552,7.644
65,0,6.782,9.96,-0.472,-2.845,-6.461,3.607,2.319,-9.285,7.869,3.699
66,1,-4.943,7.23,6.492,9.803,-5.333,-3.676,7.551,0.543,0.685,-5.356
67,0,8.841,-9.353,-9.851,-1.774,-5.568,2.607,7.163,-8.618,3.053,-3.914
68,0,-5.166,-4.5,6.521,6.321,-7.043,-6.368,-2.422,4.584,6.114,-4.89
69,0,-8.835,-1.398,-1.926,-8.765,-8.759,-6.917,-7.069,2.163,6.912,7.652
70,1,-5.067,4.717,5.274,3.269,9.056,-7.896,-4.412,4.8,-5.085,-9.63
71,1,6.281,1.917,-0.509,9.585,4.368,-5.518,-6.372,2.895,9.728,0.789
72,0,8.976,0.485,1.199,0.783,6.827,-8.459,3.901,8.546,-3.76,4.573
73,1,-1.145,5.218,4.001,2.191,-1.555,6.173,-2.632,-8.165,-0.935,-9.434
74,0,3.917,-4.426,2.726,-3.099,6.05,-3.81,-0.452,-4.714,4.58,6.056
75,1,-7.171,-2.109,-0.563,1.435,1.978,5.18,7.037,-7.954,-9.404,-8.769
76,0,1.295,0.083,7.878,9.411,-4.896,7.168,-0.598,2.784,5.952,-6.832
77,1,-4.525,1.745,-9.549,-5.159,0.361,1.401,9.251,-5.767,-4.109,2.685
78,0,-5.325,-7.407,9.739,-8.76,-9.898,-1.386,-0.21,0.431,-0.371,0.871
79,0,4.69,-4.315,3.297,-5.109,7.228,-8.447,4.834,-1.467,1.86,1.389
80,0,8.286,0.721,0.019,-1.242,0.201,-9.758,4.29,-2.511,5.442,1.845
81,0,-5.403,3.068,7.137,1.913,-9.837,-3.689,7.129,3.259,4.72,6.548
82,1,3.56,-1.603,4.259,-4.639,-1.644,6.139,-5.841,-8.992,-9.715,-9.545
83,1,3.149,-2.348,-8.784,6.501,3.122,8.349,2.106,4.924,1.749,5.157
84,0,0.037,0.451,-1.904,0.22,3.245,-5.937,-2.35,1.466,6.042,4.18
85,0,3.868,7.663,8.457,2.369,0.178,-5.041,-8.754,-4.804,-6.766,-3.367
86,1,0.644,4.36,6.134,7.317,0.437,2.691,7.941,-6.432,-9.54,8.452
87,1,-2.209,6.817,-9.108,-8.632,-0.868,-8.954,-4.732,-6.183,-7.419,5.475
88,0,-6.176,-8.452,8.409,2.984,4.681,2.695,-1.048,-6.872,-1.756,-2.017
89,0,3.309,-1.348,-2.981,2.688,-1.526,-7.586,-7.239,4.273,-4.02,-4.39
90,1,5.364,2.317,2.349,-1.029,5.196,-7.509,-2.77,4.343,4.427,-9.001
91,0,-8.605,5.802,-6.912,-0.261,-6.787,-4.841,-7.158,-8.073,-9.762,-3.526
92,1,-4.516,4.419,3.25,-3.232,-3.302,0.942,-3.873,8.227,-8.071,-1.468
93,0,-5.204,4.887,9.299,-3.423,-9.164,9.056,0.425,2.783,-7.762,6.751
94,0,7.488,-1.939,3.445,3.867,2.797,6.453,-8.005,9.922,2.411,-6.009
95,1,5.603,1.676,5.46,4.662,8.84,-1.464,-4.319,9.879,-0.838,-6.979
96,0,3.196,6.918,-5.927,-7.919,9.239,-1.714,-0.892,-8.299,7.408,-2.343
97,0,0.598,1.813,-2.323,-0.76,-7.417,-8.548,-8.288,-5.113,-6.722,0.233
98,0,2.294,2.508,0.093,0.409,3.5,1.467,5.992,4.802,8.281,-0.722
99,0,-0.159,0.851,0.029,-9.266,-5.537,-4.461,9.976,1.901,0.735,0.445
100,1,0.399,3.25,-3.901,9.456,6.975,-8.133,0.023,-1.502,9.629,-5.821
